tour_title,slug,route,destination,category,entity_topic,primary_keyword,primary_volume,primary_kd,primary_intent,secondary_keywords,long_tail_keywords,aeo_questions,entities,reserved_keywords,cannibalization_notes,parent_destination,parent_category,internal_link_targets,opportunity_flags,priority_tier,data_confidence
Super Safari Sahara Park - wycieczka z Hurghady,super-safari-sahara-park,/wycieczki-z-hurghady/super-safari-sahara-park,hurghada,safari,Super Safari / Sahara Park,super safari sahara park hurghada,N/A,N/A,Commercial (semantic),super safari hurghada N/A | sahara park hurghada N/A | super safari 70/2,safari hurghada 140/6 (Safari hub) | wioska beduinów 320/8 (info),Co obejmuje Super Safari? | Czy jest wioska beduinów? | Ile kosztuje? | Ile trwa?,Hurghada | Super Safari | Sahara Park | pustynia | quad | wioska beduinów | wielbłąd,safari egipt 170/2 (Safari hub) | wioska beduinów 320/8 (future info),Full-package safari - differentiate from quad-only tours,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; family-safari; quad-safari-3h,NO_SEMRUSH_CLUSTER,REMAINDER,Low (only weak generic term)
Moto Quad Safari 3h - wycieczka z Hurghady,quad-safari-3h,/wycieczki-z-hurghady/quad-safari-3h,hurghada,safari,Quad Safari 3h,quady hurghada,110,4,Commercial (informational),quad safari hurghada N/A | quady w hurghadzie N/A | quad safari 140/9,quady egipt 140/6 (Safari hub) | quady hurghada 110/4,Ile kosztuje quad safari w Hurghadzie? | Ile trwa 3h safari? | Czy potrzebne prawo jazdy? | Skąd odbiór?,Hurghada | quad | quad safari | pustynia | ATV | wioska beduinów,quady egipt 140/6 / quad safari 140/9 (Safari hub broad) | intra-site vs 5h #33,"Intra-site: two Hurghada quad tours (#32 3h, #33 5h) split 'quady hurghada' by duration - assign head to shorter/flagship, 5h uses duration long-tail",/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; quad-safari-5h; buggy-safari,LOW_KD_OPPORTUNITY | CANNIBALIZATION_RISK,NEXT_20,Medium (exact 110/4; split with #33)
Moto Quad Safari 5h - wycieczka z Hurghady,quad-safari-5h,/wycieczki-z-hurghady/quad-safari-5h,hurghada,safari,Quad Safari 5h,quad safari 5h hurghady,N/A,N/A,Commercial (semantic),quady hurghada 5 godzin N/A | długie quad safari hurghada N/A,quady hurghada 110/4 (ceded to #32) | quady egipt 140/6,Ile kosztuje 5h quad safari? | Czym różni się od 3h? | Ile trwa? | Skąd odbiór?,Hurghada | quad | quad safari 5h | pustynia | ATV | wioska beduinów,quady hurghada 110/4 (assigned to 3h #32),Intra-site vs #32: differentiate by 5h duration long-tail,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; quad-safari-3h; buggy-safari,CANNIBALIZATION_RISK,REMAINDER,"Low (duration-differentiated, no own vol)"
Buggy Safari z Hurghady,buggy-safari,/wycieczki-z-hurghady/buggy-safari,hurghada,safari,Buggy Safari,buggy safari,210,7,Informational,buggy safari hurghada N/A | buggy w hurghadzie N/A,buggy safari 210/7,Ile kosztuje buggy safari? | Ile osób w buggy? | Czy potrzebne prawo jazdy? | Ile trwa?,Hurghada | buggy | buggy safari | pustynia | wioska beduinów | ATV,safari i quady (Safari hub) | multi-resort broad term,Multi-resort buggy (also Sharm #75): broad 'buggy safari' 210/7 -> Hurghada (larger base); Sharm uses departure long-tail,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; buggy-safari (Sharm); quad-safari-5h,MULTI_RESORT_ENTITY | LOW_KD_OPPORTUNITY,NEXT_20,"Medium (broad 210/7, resort-shared)"
Jazda konno i kąpiel w morzu - wycieczka z Hurghady,jazda-konno-kapiel-w-morzu,/wycieczki-z-hurghady/jazda-konno-kapiel-w-morzu,hurghada,safari,Jazda konno + morze,jazda konno nad morzem hurghada,N/A,N/A,Commercial (semantic),jazda na koniu hurghada N/A | konie hurghada plaża N/A,safari hurghada 140/6 (Safari hub concept),Ile kosztuje jazda konna? | Czy konie wchodzą do morza? | Dla początkujących? | Ile trwa?,Hurghada | jazda konna | konie | plaża | morze | kąpiel,safari i quady (Safari hub),Niche activity - no CSV term,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; jazda-na-wielbladzie; family-safari,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Jazda na wielbłądzie - wycieczka z Hurghady,jazda-na-wielbladzie,/wycieczki-z-hurghady/jazda-na-wielbladzie,hurghada,safari,Jazda na wielbłądzie,jazda na wielbłądzie hurghada,N/A,N/A,Commercial (semantic),wielbłądy hurghada N/A | przejażdżka na wielbłądzie hurghada N/A,safari hurghada 140/6 (Safari hub concept),Ile kosztuje jazda na wielbłądzie? | Ile trwa? | Czy dla dzieci? | Skąd odbiór?,Hurghada | wielbłąd | jazda na wielbłądzie | pustynia | beduini,safari i quady (Safari hub),Multi-resort camel (also Sharm #76): no CSV term either resort,/wycieczki-z-hurghady/,/wycieczki/safari-i-quady/,Safari hub; Hurghada hub; jazda-na-wielbladzie (Sharm); jazda-konno-kapiel-w-morzu,NO_SEMRUSH_CLUSTER | MULTI_RESORT_ENTITY,REMAINDER,Low (no exact CSV term)
Parasailing w Hurghadzie,parasailing,/wycieczki-z-hurghady/parasailing,hurghada,atrakcje,Parasailing (Hurghada),parasailing,3600,11,Informational (transactional),parasailing hurghada N/A | parasailing egipt N/A | parasailing cena 140/9 | parasailing co to 260/13,parasailing 3600/11 | parasailing cena 140/9,Ile kosztuje parasailing w Hurghadzie? | Na jaką wysokość? | Czy bezpieczne? | Czy dla dzieci?,Hurghada | parasailing | lot na spadochronie | Morze Czerwone | adrenalina,"atrakcje i rozrywka (Atrakcje hub - links, not primary)",Entity reserved to this page by hub map. Multi-resort (also Sharm #71): broad 'parasailing' 3600 -> Hurghada; Sharm uses departure long-tail,/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; parasailing (Sharm); wielkie-akwarium,HIGH_VOLUME_ENTITY | MULTI_RESORT_ENTITY,TOP_10,"High (3600 vol, KD11, exact entity)"
City Tour po Hurghadzie,city-tour,/wycieczki-z-hurghady/city-tour,hurghada,atrakcje,City Tour Hurghada,city tour hurghada,N/A,N/A,Commercial (semantic),zwiedzanie hurghady N/A | hurghada city tour N/A,hurghada co warto zobaczyć 480/17 (info) | hurghada co zobaczyć 390/17 (info) | hurghada atrakcje 1000/19 (hub),Co obejmuje City Tour? | Czy wizyta w meczecie i bazarze? | Ile kosztuje? | Ile trwa?,Hurghada | City Tour | Marina | meczet | bazar | Stare Miasto | El Dahar,hurghada atrakcje 1000/19 (Hurghada hub) | 'co warto zobaczyć' 480/17 (future info guide),"Cheapest tour (12 USD). 'co warto zobaczyć' terms are info -> future guide, not this page primary",/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; el-gouna; mini-egypt-park,NO_SEMRUSH_CLUSTER | NEEDS_INFORMATIONAL_SUPPORT,REMAINDER,Low (only info terms exist)
Wycieczka z Hurghady do El Gouny,el-gouna,/wycieczki-z-hurghady/el-gouna,hurghada,atrakcje,El Gouna,wycieczka do el gouny z hurghady,N/A,N/A,Commercial (semantic),el gouna z hurghady N/A | zwiedzanie el gouny N/A,el gouna 4400/18 (info/nav) | el gouna egipt 1900/24 (info) | el gouna wakacje 390/14 (info) | el gouna hurghada 110/22,Co zobaczyć w El Gounie? | Ile trwa wycieczka? | Ile kosztuje? | Skąd odbiór?,Hurghada | El Gouna | laguny | Marina | Wenecja Egiptu | miasteczko,"el gouna 4400/18 - destination/hotel/navigational intent, NOT the day-trip primary","'el gouna' 4400 broad is town/hotel-stay intent (people staying there), wrong intent for a day-trip page",/wycieczki-z-hurghady/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Hurghada hub; city-tour; wielkie-akwarium,NO_SEMRUSH_CLUSTER | NEEDS_INFORMATIONAL_SUPPORT,REMAINDER,Low (broad term wrong intent)
Wycieczka z Marsa Alam do Kairu,kair-stary-kair-piramidy,/wycieczki-z-marsa-alam/kair-stary-kair-piramidy,marsa-alam,kair,Kair/Giza (z Marsa Alam),wycieczki z marsa alam do kairu,140,1,Informational,wycieczka z marsa alam do kairu 140/1 | marsa alam kair odleglosc 260/6 (info) | marsa alam piramidy 210/3,wycieczka do kairu z marsa alam | marsa alam kair,Ile kosztuje wycieczka z Marsa Alam do Kairu? | Ile trwa dojazd? | Skąd odbiór? | Czy jest polski przewodnik?,Marsa Alam | Kair | Giza | Muzeum Egipskie | piramidy | Sfinks,wycieczka do kairu 320/7 (Kair hub) | piramidy w egipcie 1900/23 (future info),"Multi-resort Cairo (H #1, S #60): departure-separated. KD1 - low difficulty",/wycieczki-z-marsa-alam/,/wycieczki/kair-i-piramidy/,Kair hub; Marsa hub; kair-wielkie-muzeum-gem (Marsa); prywatna-wycieczka-do-kairu,LOW_KD_OPPORTUNITY | MULTI_RESORT_ENTITY,NEXT_20,"High (CSV departure cluster, KD1)"
Kair i Grand Egyptian Museum (GEM) z Marsa Alam,kair-wielkie-muzeum-gem,/wycieczki-z-marsa-alam/kair-wielkie-muzeum-gem,marsa-alam,kair,GEM (z Marsa Alam),kair gem z marsa alam,N/A,N/A,Commercial (semantic),grand egyptian museum z marsa alam N/A | kair i gem marsa alam N/A,wycieczki z marsa alam do kairu 140/1 (parent) | nowe muzeum w kairze 390/21 (info),Co obejmuje wycieczka do GEM z Marsa Alam? | Ile kosztuje? | Ile trwa? | Skąd odbiór?,Marsa Alam | Kair | GEM | Grand Egyptian Museum | piramidy | Giza,wycieczka do kairu 320/7 (Kair hub),GEM variant vs standard #40; multi-resort GEM (H #2): no exact CSV term,/wycieczki-z-marsa-alam/,/wycieczki/kair-i-piramidy/,Kair hub; Marsa hub; kair-stary-kair-piramidy,NO_SEMRUSH_CLUSTER | MULTI_RESORT_ENTITY,REMAINDER,Low (GEM no exact CSV term)
Wycieczka z Marsa Alam do Kairu samolotem,kair-samolotem,/wycieczki-z-marsa-alam/kair-samolotem,marsa-alam,kair,Kair samolotem (z Marsa Alam),kair samolotem z marsa alam,N/A,N/A,Commercial (semantic),lot do kairu z marsa alam N/A | wycieczka do kairu samolotem marsa alam N/A,wycieczki z marsa alam do kairu 140/1 (parent),Ile kosztuje Kair samolotem z Marsa Alam? | Ile trwa lot? | Czy jednodniowa? | Co obejmuje cena?,Marsa Alam | Kair | samolot | lot | piramidy | Muzeum Egipskie,wycieczka do kairu 320/7 (Kair hub),"Multi-resort plane-Cairo (H #4, S #61/#77): differentiate by 'samolotem'",/wycieczki-z-marsa-alam/,/wycieczki/kair-i-piramidy/,Kair hub; Marsa hub; kair-stary-kair-piramidy,NO_SEMRUSH_CLUSTER | MULTI_RESORT_ENTITY,REMAINDER,Low (no exact CSV term)
Prywatna wycieczka do Kairu z Marsa Alam,prywatna-wycieczka-do-kairu,/wycieczki-z-marsa-alam/prywatna-wycieczka-do-kairu,marsa-alam,prywatne,Prywatny Kair (z Marsa Alam),prywatna wycieczka do kairu z marsa alam,N/A,N/A,Commercial (semantic),prywatny kair z marsa alam N/A | kair prywatnie marsa alam N/A,wycieczki z marsa alam do kairu 140/1 (parent),Ile kosztuje prywatny Kair z Marsa Alam? | Dla ilu osób? | Własny przewodnik? | Ile trwa?,Marsa Alam | Kair | prywatna wycieczka | piramidy | GEM,wycieczka do kairu 320/7 (Kair hub) | wycieczki prywatne (Prywatne hub),Private Cairo (also H #5): differentiate by 'prywatna',/wycieczki-z-marsa-alam/,/wycieczki/wycieczki-prywatne/,Prywatne hub; Kair hub; Marsa hub; kair-stary-kair-piramidy,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Wycieczka do Luksoru z Marsa Alam,luksor-dolina-krolow,/wycieczki-z-marsa-alam/luksor-dolina-krolow,marsa-alam,luksor,Luksor / Dolina Królów (z Marsa Alam),wycieczki z marsa alam do luksoru,170,3,Informational,wycieczka do luksoru z marsa alam 140/3 | ile kosztuje wycieczka z marsa alam do luksoru 140/3 | marsa alam luksor odległość 480/10 (info) | marsa alam luxor 110/10,marsa alam to luxor 110/15 | luksor z marsa alam,Ile kosztuje wycieczka z Marsa Alam do Luksoru? | Ile trwa? | Czy Dolina Królów? | Skąd odbiór?,Marsa Alam | Luksor | Dolina Królów | Karnak | Hatszepsut | Nil,wycieczka do luksoru 110/5 (Luksor hub) | dolina królów 5400/23 (future info),"Multi-resort Luxor (also H #6): Marsa is closest base, strongest departure cluster (KD3)",/wycieczki-z-marsa-alam/,/wycieczki/luksor/,Luksor hub; Marsa hub; prywatna-wycieczka-luksor-dendera (Marsa),LOW_KD_OPPORTUNITY | MULTI_RESORT_ENTITY | STRONG_TRANSACTIONAL_INTENT,NEXT_20,"High (multiple CSV departure terms, KD3)"
Prywatna wycieczka z Marsa Alam do Luksoru i Dendery,prywatna-wycieczka-luksor-dendera,/wycieczki-z-marsa-alam/prywatna-wycieczka-luksor-dendera,marsa-alam,prywatne,"Luksor + Dendera (prywatnie, z Marsa Alam)",prywatna wycieczka do luksoru i dendery z marsa alam,N/A,N/A,Commercial (semantic),luksor dendera prywatnie marsa alam N/A | prywatny luksor z marsa alam N/A,wycieczki z marsa alam do luksoru 170/3 (parent),Co obejmuje prywatny Luksor i Dendera? | Dla ilu osób? | Ile kosztuje? | Ile trwa?,Marsa Alam | Luksor | Dendera | Świątynia Hathor | Dolina Królów | prywatna,wycieczka do luksoru 110/5 (Luksor hub),Private Luxor+Dendera (also H #7): 'Dendera' no CSV term,/wycieczki-z-marsa-alam/,/wycieczki/wycieczki-prywatne/,Prywatne hub; Luksor hub; Marsa hub; luksor-dolina-krolow (Marsa),NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Sataya z Marsa Alam - dom delfinów,sataya-dom-delfinow,/wycieczki-z-marsa-alam/sataya-dom-delfinow,marsa-alam,snorkeling-delfiny,Sataya (Dolphin Reef),sataya,480,20,Informational,sataya dolphin reef 110/3 | sataya reef 110/14 | dom delfinów marsa alam 90/0,sataya marsa alam N/A | rejs sataya N/A,Ile kosztuje Sataya z Marsa Alam? | Czy popłyniemy z delfinami? | Ile trwa rejs? | Skąd odbiór?,Marsa Alam | Sataya | Dolphin Reef | delfiny | rafa | snorkeling,snorkeling i delfiny (Snorkeling hub) | sataya reserved to this page by hub map,Own 'sataya' 480/20. Intra-site vs Samadai #47: this page owns 'dom delfinów marsa alam' 90/0,/wycieczki-z-marsa-alam/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Marsa hub; samadai-dom-delfinow; abu-dabbab,HIGH_VOLUME_ENTITY,TOP_10,High (480 vol exact entity)
Sha'ab Samadai z Marsa Alam - dom delfinów,samadai-dom-delfinow,/wycieczki-z-marsa-alam/samadai-dom-delfinow,marsa-alam,snorkeling-delfiny,Sha'ab Samadai,samadai dom delfinów,N/A,N/A,Commercial (semantic),sha'ab samadai N/A | samadai marsa alam N/A | samadai reef N/A,dom delfinów marsa alam 90/0 (ceded to Sataya #46) | pływanie z delfinami egipt 110/2,Ile kosztuje Samadai? | Czym różni się od Sataya? | Czy zobaczymy delfiny? | Ile trwa?,Marsa Alam | Sha'ab Samadai | Samadai | delfiny | laguna | snorkeling,snorkeling i delfiny (Snorkeling hub) | dom delfinów marsa alam 90/0 (Sataya #46),Intra-site vs Sataya #46: 'Samadai' has no CSV term; differentiate as separate reef entity,/wycieczki-z-marsa-alam/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Marsa hub; sataya-dom-delfinow; abu-dabbab,NO_SEMRUSH_CLUSTER | CANNIBALIZATION_RISK,REMAINDER,Low (entity absent from gap export)
Abu Dabbab z Marsa Alam - żółwie i snorkeling,abu-dabbab,/wycieczki-z-marsa-alam/abu-dabbab,marsa-alam,snorkeling-delfiny,Abu Dabbab,abu dabbab,1300,12,Informational,abu dabbab marsa alam 170/12 | marsa alam abu dabbab 140/14 | zatoka abu dabbab 170/8 | abu dabbab beach 170/15 | zatoka żółwi marsa alam 110/0 | zatoka żółwi 90/2 | plaża abu dabbab 90/6,abu dabbab żółwie N/A | diugoń abu dabbab N/A,Ile kosztuje Abu Dabbab? | Czy na pewno zobaczę żółwie? | Ile trwa? | Skąd odbiór? | Czy dla dzieci?,Marsa Alam | Abu Dabbab | Zatoka Żółwi | żółwie | diugoń | snorkeling | rafa,snorkeling i delfiny (Snorkeling hub) | abu dabbab reserved to this page by hub map,Own broad 'abu dabbab' 1300/12 (canonical/closest). Hurghada tour #22 uses departure long-tail,/wycieczki-z-marsa-alam/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Marsa hub; abu-dabbab-snorkeling (Hurghada #22); marsa-mubarak-snorkeling,HIGH_VOLUME_ENTITY | MULTI_RESORT_ENTITY,TOP_10,High (1300 vol exact entity)
Marsa Mubarak z Marsa Alam - snorkeling,marsa-mubarak-snorkeling,/wycieczki-z-marsa-alam/marsa-mubarak-snorkeling,marsa-alam,snorkeling-delfiny,Marsa Mubarak,marsa mubarak,880,8,Commercial,zatoka marsa mubarak 90/5 | marsa mubarak snorkeling N/A,marsa mubarak hotel 30/21 (info),Ile kosztuje Marsa Mubarak? | Czy zobaczę żółwie i diugonie? | Ile trwa? | Skąd odbiór?,Marsa Alam | Marsa Mubarak | zatoka | żółwie | diugoń | snorkeling | rafa,"snorkeling i delfiny (Snorkeling hub - links, not primary)",Own exact 'marsa mubarak' 880/8 (commercial). Strong low-KD entity,/wycieczki-z-marsa-alam/,/wycieczki/snorkeling-i-delfiny/,Snorkeling hub; Marsa hub; abu-dabbab; sataya-dom-delfinow,HIGH_VOLUME_ENTITY | LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,TOP_10,"High (880 vol, KD8, exact entity)"
Wycieczka z Marsa Alam na wyspy Hamata,wyspy-hamata,/wycieczki-z-marsa-alam/wyspy-hamata,marsa-alam,rejsy-wyspy,Hamata / Qulaan,hamata,720,9,Informational,wyspy qulaan 880/8 | wyspa hamata 260/5 | hamata island 260/6 | hamata egipt 210/7 | wyspy hamata 140/14 | qulaan 140/7 | qulaan island 140/5 | qulaan islands 110/9,hamata marsa alam N/A | rejs hamata N/A,Ile kosztuje wycieczka na wyspy Hamata? | Ile trwa rejs? | Czy zobaczę delfiny? | Skąd odbiór?,Marsa Alam | Hamata | Qulaan | wyspy Qulaan | Morze Czerwone | rejs | delfiny | snorkeling,rejsy i wyspy (Rejsy hub) | wyspa hamata 260/5 reserved to this page by hub map,"Own 'hamata' 720/9 primary + strong secondary 'wyspy qulaan' 880/8 (same tour, Qulaan islands near Hamata)",/wycieczki-z-marsa-alam/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Marsa hub; rejs-nefertari; sharm-el-lulli-ras-hankorab,HIGH_VOLUME_ENTITY | LOW_KD_OPPORTUNITY,TOP_10,High (720/9 + 880/8 combined cluster)
Rejs łodzią Nefertari z Marsa Alam,rejs-nefertari,/wycieczki-z-marsa-alam/rejs-nefertari,marsa-alam,rejsy-wyspy,Rejs Nefertari,rejs łodzią nefertari z marsa alam,N/A,N/A,Commercial (semantic),rejs nefertari marsa alam N/A | łódź nefertari N/A,"rejs katamaranem 480/7 (category) | nefertari 880/33 (WRONG intent - hotel/temple, not the boat)",Co obejmuje rejs Nefertari? | Ile trwa? | Czy jest snorkeling? | Ile kosztuje?,Marsa Alam | Nefertari | rejs | łódź | Morze Czerwone | snorkeling,"nefertari 880/33 - hotel/temple intent, NOT this boat's primary","'nefertari' 880 is hotel/temple navigational, wrong intent for a boat-brand day-trip",/wycieczki-z-marsa-alam/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Marsa hub; wyspy-hamata; sharm-el-lulli-ras-hankorab,NO_SEMRUSH_CLUSTER,REMAINDER,Low (only off-intent homonym)
Wycieczka łodzią Seascope z Marsa Alam,lodz-seascope,/wycieczki-z-marsa-alam/lodz-seascope,marsa-alam,atrakcje,Seascope (Marsa Alam),seascope marsa alam,N/A,N/A,Commercial (semantic),łódź seascope marsa alam N/A | łódź półpodwodna marsa alam N/A,seascope hurghada 90/8 (reserved to Hurghada #25),Ile kosztuje Seascope z Marsa Alam? | Czy to łódź podwodna? | Ile trwa? | Czy dla dzieci?,Marsa Alam | Seascope | łódź półpodwodna | rafa | ryby | podwodny świat,atrakcje i rozrywka (Atrakcje hub) | seascope hurghada 90/8 (Hurghada #25),"Multi-resort Seascope (H #25, S #70): Hurghada owns the only 'seascope' vol; Marsa uses departure long-tail",/wycieczki-z-marsa-alam/,/wycieczki/atrakcje-i-rozrywka/,Atrakcje hub; Marsa hub; lodz-seascope (Hurghada #25); rejs-nefertari,NO_SEMRUSH_CLUSTER | MULTI_RESORT_ENTITY,REMAINDER,Low (no Marsa-specific vol)
Wycieczka z Marsa Alam na plażę Sharm el Lulli (Ras Hankorab),sharm-el-lulli-ras-hankorab,/wycieczki-z-marsa-alam/sharm-el-lulli-ras-hankorab,marsa-alam,rejsy-wyspy,Sharm el Lulli / Ras Hankorab,sharm el lulli,480,2,Commercial,sharm el luli 480/2 (CSV spelling variant) | ras hankorab N/A | sharm el lulli plaża N/A,sharm el lulli marsa alam N/A,Ile kosztuje wycieczka na Sharm el Lulli? | Ile trwa? | Czy dzika plaża? | Skąd odbiór?,Marsa Alam | Sharm el Lulli | Ras Hankorab | plaża | park narodowy | Morze Czerwone | snorkeling,"rejsy i wyspy (Rejsy hub - links, not primary)","Own 'sharm el lulli' (CSV variant 'sharm el luli' 480/2). Target correct spelling on-site, group the variant",/wycieczki-z-marsa-alam/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Marsa hub; wyspy-hamata; abu-dabbab,LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,TOP_10,"High (480 vol, KD2, exact entity)"
Wycieczka z Marsa Alam - nurkowanie z plaży,nurkowanie-z-plazy,/wycieczki-z-marsa-alam/nurkowanie-z-plazy,marsa-alam,nurkowanie,Nurkowanie z plaży,nurkowanie z plaży marsa alam,N/A,N/A,Commercial (semantic),nurkowanie z brzegu marsa alam N/A | shore diving marsa alam N/A,marsa alam nurkowanie 210/1 (hub/shared) | rafa koralowa marsa alam 480/15 (info) | rafa marsa alam 480/13 (info),Ile kosztuje nurkowanie z plaży? | Czy trzeba mieć uprawnienia? | Ile nurkowań? | Skąd odbiór?,Marsa Alam | nurkowanie | shore dive | rafa koralowa | plaża | butla,nurkowanie w egipcie (Nurkowanie hub) | marsa alam nurkowanie 210/1 (hub-leaning) | intra-site vs boat dive #55,'marsa alam nurkowanie' 210/1 leans hub; intra-site vs #55 - split shore vs boat by long-tail,/wycieczki-z-marsa-alam/,/wycieczki/nurkowanie/,Nurkowanie hub; Marsa hub; nurkowanie-z-lodzi,CANNIBALIZATION_RISK,REMAINDER,Low (head leans hub; only info reef terms)
Nurkowanie z łodzi w Marsa Alam,nurkowanie-z-lodzi,/wycieczki-z-marsa-alam/nurkowanie-z-lodzi,marsa-alam,nurkowanie,Nurkowanie z łodzi,nurkowanie z łodzi marsa alam,N/A,N/A,Commercial (semantic),boat diving marsa alam N/A | nurkowanie z łodzi egipt N/A,marsa alam nurkowanie 210/1 (hub/shared) | marsa alam rafa koralowa 140/12 (info),Ile kosztuje nurkowanie z łodzi? | Ile nurkowań w cenie? | Jakie rafy? | Skąd odbiór?,Marsa Alam | nurkowanie | boat dive | rafa koralowa | łódź | butla,nurkowanie w egipcie (Nurkowanie hub) | intra-site vs shore dive #54,Intra-site vs #54: differentiate boat vs shore by long-tail; hub owns 'marsa alam nurkowanie',/wycieczki-z-marsa-alam/,/wycieczki/nurkowanie/,Nurkowanie hub; Marsa hub; nurkowanie-z-plazy,CANNIBALIZATION_RISK,REMAINDER,Low (head leans hub; no boat-specific vol)
Super Safari z Marsa Alam,super-safari-quady,/wycieczki-z-marsa-alam/super-safari-quady,marsa-alam,safari,Super Safari + quady (Marsa),marsa alam safari,90,1,Informational (transactional),marsa alam quady 90/3 | super safari 70/2 | pustynia marsa alam 30/7 (info),safari marsa alam N/A | super safari quady marsa alam N/A,Co obejmuje Super Safari z Marsa Alam? | Czy jest quad i wielbłąd? | Ile kosztuje? | Ile trwa?,Marsa Alam | Super Safari | quad | pustynia | wioska beduinów | wielbłąd,safari egipt 170/2 (Safari hub) | intra-site vs quad tours #57/#58/#59,Own 'marsa alam safari' 90/1 (flagship full-package). Quad-only tours #57/#58 use 'marsa alam quady',/wycieczki-z-marsa-alam/,/wycieczki/safari-i-quady/,Safari hub; Marsa hub; quad-safari-5h (Marsa); jeep-safari (Marsa),LOW_KD_OPPORTUNITY | CANNIBALIZATION_RISK,NEXT_20,Medium (exact 90/1; split with sibling safaris)
Quad Safari z Marsa Alam - 5 godzin,quad-safari-5h,/wycieczki-z-marsa-alam/quad-safari-5h,marsa-alam,safari,Quad Safari 5h (Marsa),marsa alam quady,90,3,Informational,quad safari marsa alam N/A | quady marsa alam 5h N/A,marsa alam safari 90/1 (Super Safari #56) | quady egipt 140/6 (hub),Ile kosztuje 5h quad safari z Marsa Alam? | Czy potrzebne prawo jazdy? | Ile trwa? | Skąd odbiór?,Marsa Alam | quad | quad safari 5h | pustynia | ATV,quady egipt 140/6 (Safari hub) | intra-site vs 2h #58 + Super Safari #56,Own 'marsa alam quady' 90/3 (flagship quad). 2h #58 uses duration long-tail,/wycieczki-z-marsa-alam/,/wycieczki/safari-i-quady/,Safari hub; Marsa hub; quad-safari-2h (Marsa); super-safari-quady,LOW_KD_OPPORTUNITY | CANNIBALIZATION_RISK,NEXT_20,Medium (exact 90/3; split with #58)
Wycieczka z Marsa Alam - Moto Quad Safari 2h,quad-safari-2h,/wycieczki-z-marsa-alam/quad-safari-2h,marsa-alam,safari,Quad Safari 2h (Marsa),quad safari 2h marsa alam,N/A,N/A,Commercial (semantic),krótkie quad safari marsa alam N/A | quady 2h marsa alam N/A,marsa alam quady 90/3 (ceded to 5h #57),Ile kosztuje 2h quad safari? | Czym różni się od 5h? | Ile trwa? | Skąd odbiór?,Marsa Alam | quad | quad safari 2h | pustynia | ATV,marsa alam quady 90/3 (assigned to 5h #57),Intra-site vs #57: differentiate by 2h duration long-tail,/wycieczki-z-marsa-alam/,/wycieczki/safari-i-quady/,Safari hub; Marsa hub; quad-safari-5h (Marsa),CANNIBALIZATION_RISK,REMAINDER,"Low (duration-differentiated, no own vol)"
Wycieczka z Marsa Alam - Jeep Safari,jeep-safari,/wycieczki-z-marsa-alam/jeep-safari,marsa-alam,safari,Jeep Safari (Marsa),jeep safari marsa alam,N/A,N/A,Commercial (semantic),jeep safari 480/10 (broad/generic) | safari terenowe marsa alam N/A,wioska beduinów 320/8 (info) | oaza na pustyni 390/6 (info),Co obejmuje Jeep Safari? | Czy jest wioska beduinów? | Ile kosztuje? | Ile trwa?,Marsa Alam | Jeep Safari | pustynia | wioska beduinów | oaza | 4x4,"safari egipt 170/2 (Safari hub) | jeep safari 480/10 (broad, mostly non-Egypt intent)",'jeep safari' 480/10 is broad/generic (Dubai/Turkey heavy); use Marsa-modified long-tail,/wycieczki-z-marsa-alam/,/wycieczki/safari-i-quady/,Safari hub; Marsa hub; super-safari-quady; quad-safari-5h (Marsa),NO_SEMRUSH_CLUSTER,REMAINDER,Low (broad term off-geo)
